Solvent,Temp,Measured,Ref,,,,,
1-Octadecanol,298.15,1.43/. 10 v~,"10,12",,,,,
"]l,3-Nonaned o",298.15,610,"4,12",,,,,
"1,4-Dimethyl,2,4 -octanediol",298.15,784,"4,12",,,,,
"2,4-Dimethyl,2,4-nonanediol",298.15,2480,"4,12",,,,,
"2-Propyl, 1,3-heptartediol",298.15,940,"4,12",,,,,
,,,,,,,,
,Phenol Derivatives,,,,,,,
m-Cresol a,298.15,276,"10,12",,,,,
o-Cresol a,298.15,246,"10,12",,,,,
p-Cresol a,298.15,311,"10,12",,,,,
,,,,,,,,
,Ketones,,,,,,,
"2- Mehtyl,3-pentanone",298.15,:]61,"9,12",,,,,
"3-Methyl,2-pentanone",298.15,261,"9,12",,,,,
"4- Methyl,2-peotart ofte",298.15,292,"9,12",,,,,
"3,3- Dimethyl,2- Butanone",298.15,288,"9,12",,,,,
2-Heptanone,293. 15,1435,9,,,,,
4-Heptanone a,303.15,1653,9,,,,,
"2,4-Dimethyl,3-pentanone",298.15,1107,9,,,,,
"5-Methyl,2-hexanone",298.15,1520,"4,12",,,,,
5-Nonanone,303.15,2. 17 × 104,"9,12",,,,,
"2,6-Dimethyl,4-heptanone",298.15,8760,"9,12",,,,,
Cyclohexanone,298.15,54. 1,"9,12",,,,,
Acetophenone,298. 15,975.6,9,,,,,
,,,,,,,,
,,,,,,,,
Pentanoic acid,298.15,127,"9,12",,,,,
Hexanoic Acid,298.15,470.5,9,,,,,
Hexanoic Acid,298.15,468,14,,,,,
Heptanoic Acid,303.15,2523,9,,,,,
Benzoic acid,298. 15,2004,"10,12",,,,,
,,,,,,,,
,,,,,,,,
"Acetic Acid, ethenyl ester",293.15,416,9,,,,,
Methyl butyrate a,294.15,358. 9,9,,,,,
Ethyl pmpenoate,293. 15,257,9,,,,,
Ethyl pmpiunate a,298. 15,260,9,,,,,
Propyl propanoate,298. 15,1019,9,,,,,
Ethyl butyrate a,295. 15,1041,9,,,,,
Butyl acetate a,298. 15,799. 5,9,,,,,
3-Methylbutyl acetate,303. 15,3146,9,,,,,
Propyl butymte,290. 15,4454,9,,,,,
Isopmpyl butyrate,298. 15,3077,9,,,,,
Ethyl pentanoate,298. 15,2880,"9,12",,,,,
Cyclohexyl acetate,298. 15,2720,"9,12",,,,,
Butyl pentanoate,298. 15,19400,"9,12",,,,,
"Hypochlorous acid,terthutyl ester",293. 15,1880,"9,12",,,,,
,,,,,,,,
,,,,,,,,
Methyl propyl ether,298.15,132,"9,12",,,,,
Methyl butyl ether,298.15,546,"9,12",,,,,
Methyl sec. Butyl ether,298.15,302,"9,12",,,,,
Ethyl isopropyl ether,298.15,200,"9,12",,,,,
Ethyl propyl ether,298.15,257,"9,12",,,,,
Isobutyl methyl ether,298.15,442,"9,12",,,,,
"See. butyl methyl,2-methyl ether",293.15,449,"9,12",,,,,
lsopropyl propyl ether,298.15,1202,9,,,,,
Dipropyl ether,298. t5,1444,9,,,,,
,,,,,,,,
,,,,,,,,
Heptanal,303.15,4178,9,,,,,
Octanal,303.15,19230,9,,,,,
Nunanal,303.15,75188,9,,,,,
5-Methylfurfural,298. 15,128,"9,12",,,,,
,,,,,,,,
,,,,,,,,
Butyl ethylamine,298. 15,130,"9,12",,,,,
Dipropylamine,298. 15,134,"9,12",,,,,
1-Ethyl piperdine,298. 15,127,"9,12",,,,,
"3-ethyl, 4-methyl pyridine",298. 15,220,"9,12",,,,,
1-Propyl piperdine,298. 15,943,"9,12",,,,,
Aniline a,298. 15,147,"9,12",,,,,
!-Amino toluene,293. 15,367,"9,12",,,,,
,,,,,,,,
,,,,,,,,
!-Nitropropane,298. 15,292,"10,12",,,,,
Nitrobenzene,298. 15,3530,"9,12",,,,,
2-Nitrotoluene,303. 15,11680,"9,12",,,,,
"2-Nitro, 1-methoxy benzene",303. 15,5030,"9,12",,,,,
3-Nitrotoluene,303. 15,15300,"9,12",,,,,
,,,,,,,,
,,,,,,,,
Carbon disulfide,298. 15,1440,14,,,,,
Methanethiol,298. 15,110,"10,12",,,,,
Ethanethiol,298. 15,231,14,,,,,
1-Butanethiol,298. 15,8330,"10,12",,,,,
1-Butanethiol,298. 15,6600,14,,,,,
Methyl sulfide,298. 15,174,"10,12",,,,,
Ethyl sulfide,298. 15,1600,"10,12",,,,,
Thiophene,298. 15,1550,"10,12",,,,,
